         0 <= x <   30; y =    77.0000 +     0.6333x; interpolation
        30 <= x <   60; y =    77.0000 +    -0.5667x; interpolation
        60 <= x <   90; y =    41.0000 +     0.6333x; interpolation
        90 <= x <  120; y =   107.0000 +    -0.4667x; interpolation
       120 <= x <  150; y =    29.0000 +     0.4000x; interpolation
       150 <= x <  180; y =    93.0000 +    -0.1333x; interpolation
       180 <= x <  210; y =    43.0000 +     0.2000x; interpolation
       210 <= x <  240; y =   115.0000 +    -0.2000x; interpolation
       240 <= x <  270; y =    31.0000 +     0.2000x; interpolation
       270 <= x <  300; y =   119.0000 +    -0.1667x; interpolation
       300 <= x <  330; y =   164.0000 +    -0.3333x; interpolation
       330 <= x <  360; y =   -76.0000 +     0.4667x; interpolation
       360 <= x <  390; y =   254.0000 +    -0.5333x; interpolation
       390 <= x <  420; y =    50.0000 +     0.0333x; interpolation
       420 <= x <  450; y =   -93.0000 +     0.4000x; interpolation
       450 <= x <  480; y =    -9.0000 +     0.2000x; interpolation
       480 <= x <  510; y =   336.0000 +    -0.5667x; interpolation
       510 <= x <  540; y =    96.0000 +    -0.0667x; interpolation
       540 <= x <  570; y =  -261.0000 +     0.6333x; interpolation
       570 <= x <  600; y =   495.0000 +    -0.7667x; interpolation
       600 <= x <  630; y =   -56.0000 +     0.2000x; interpolation
       630 <= x <  660; y =   104.0000 +    -0.0667x; interpolation
       660 <= x <  690; y =  -337.0000 +     0.6333x; interpolation
       690 <= x <  720; y =    81.0000 +     0.0000x; interpolation
       720 <= x <  750; y =   472.0000 +    -0.5667x; interpolation
       750 <= x <  780; y =  -344.0000 +     0.5667x; interpolation
       780 <= x <  810; y =   106.0000 +    -0.0333x; interpolation
       810 <= x <  840; y =   132.0000 +    -0.0667x; interpolation
       840 <= x <  870; y =    -3.0000 +     0.1000x; interpolation
       870 <= x <  900; y =    81.0000 +     0.0000x; interpolation
       900 <= x <  930; y =    52.0000 +     0.0333x; interpolation
       930 <= x <  960; y =    52.0000 +     0.0333x; interpolation
       960 <= x <  990; y =   145.0000 +    -0.0667x; interpolation
       990 <= x < 1020; y =   113.0000 +    -0.0333x; interpolation
      1020 <= x < 1050; y =   641.0000 +    -0.5667x; interpolation
      1050 <= x < 1080; y =    97.0000 +    -0.0333x; interpolation
      1080 <= x < 1110; y =  -498.0000 +     0.5333x; interpolation
      1110 <= x < 1140; y =     6.0000 +     0.0667x; interpolation
      1140 <= x < 1170; y =   191.0000 +    -0.1000x; interpolation
      1170 <= x < 1200; y =   -75.0000 +     0.1333x; interpolation
      1200 <= x < 1230; y =   159.0000 +    -0.0667x; interpolation
      1230 <= x < 1260; y =    39.0000 +     0.0333x; interpolation
      1260 <= x < 1290; y =    80.0000 +     0.0000x; interpolation
      1290 <= x < 1320; y =   122.0000 +    -0.0333x; interpolation
      1320 <= x < 1350; y =   724.0000 +    -0.5000x; interpolation
      1350 <= x < 1380; y =   152.0000 +    -0.0667x; interpolation
      1380 <= x < 1410; y =   -28.0000 +     0.0667x; interpolation
      1410 <= x < 1440; y =  -442.0000 +     0.3667x; interpolation
      1440 <= x < 1470; y =  -160.0000 +     0.1667x; interpolation
      1470 <= x < 1500; y =   -16.0000 +     0.0667x; interpolation
      1500 <= x < 1530; y =  1454.0000 +    -0.9333x; interpolation
      1530 <= x < 1560; y =  -346.0000 +     0.2667x; interpolation
      1560 <= x < 1590; y =  -754.0000 +     0.5333x; interpolation
      1590 <= x < 1620; y =   -78.0000 +     0.1000x; interpolation
      1620 <= x < 1650; y =    81.0000 +     0.0000x; interpolation
      1650 <= x < 1680; y =  1107.0000 +    -0.6333x; interpolation
      1680 <= x < 1710; y =  -873.0000 +     0.5667x; interpolation
      1710 <= x < 1740; y =  1031.0000 +    -0.5667x; interpolation
      1740 <= x < 1770; y =     5.0000 +     0.0333x; interpolation
      1770 <= x < 1800; y =   121.0000 +    -0.0333x; interpolation
      1800 <= x < 1830; y =  -882.0000 +     0.5333x; interpolation
      1830 <= x < 1860; y =  1098.0000 +    -0.5667x; interpolation
      1860 <= x < 1890; y =  -122.0000 +     0.1000x; interpolation
      1890 <= x < 1920; y = -1052.0000 +     0.6000x; interpolation
      1920 <= x < 1950; y =  1216.0000 +    -0.6000x; interpolation
      1950 <= x < 1980; y =   192.0000 +    -0.0667x; interpolation
      1980 <= x < 2010; y =   -68.0000 +     0.0667x; interpolation
      2010 <= x < 2040; y =   196.0000 +    -0.0667x; interpolation
      2040 <= x < 2070; y =   -72.0000 +     0.0667x; interpolation
      2070 <= x < 2100; y =  -956.0000 +     0.5000x; interpolation
      2100 <= x < 2130; y =   355.0000 +    -0.1333x; interpolation
      2130 <= x < 2160; y =  3505.0000 +    -1.6333x; interpolation
      2160 <= x < 2190; y =   239.0000 +    -0.1000x; interpolation
      2190 <= x < 2220; y = -4009.0000 +     1.8667x; interpolation
      2220 <= x < 2250; y =  1174.0000 +    -0.5000x; interpolation
